Date,Time,Min Delay
2024-01-03,05:11,0
2024-01-03,05:20,7
2024-01-03,05:27,0
2024-01-03,05:31,12
2024-01-03,05:35,8
2024-01-03,05:45,20
2024-01-03,05:56,5
2024-01-03,06:00,8
2024-01-03,06:06,5
2024-01-03,06:08,7
2024-01-03,06:17,0
2024-01-03,06:17,10
2024-01-03,06:18,11
2024-01-03,06:25,8
2024-01-03,06:28,0
2024-01-03,06:46,30
2024-01-03,06:52,5
2024-01-03,07:00,8
2024-01-03,07:01,10
2024-01-03,07:13,3
2024-01-03,07:27,7
2024-01-03,07:28,7
2024-01-03,07:30,15
2024-01-03,07:32,15
2024-01-03,07:41,109
2024-01-03,07:53,9
2024-01-03,08:00,0
2024-01-03,08:17,10
2024-01-03,08:46,8
2024-01-03,08:47,7
2024-01-03,08:51,8
2024-01-03,08:52,9
2024-01-03,09:24,10
2024-01-03,09:25,10
2024-01-03,09:30,9
2024-01-03,09:35,9
2024-01-03,09:38,8
2024-01-03,09:44,13
2024-01-03,09:46,7
2024-01-03,09:53,10
2024-01-03,10:11,11
2024-01-03,10:35,10
2024-01-03,10:50,8
2024-01-03,10:56,20
2024-01-03,11:15,16
2024-01-03,11:23,25
2024-01-03,11:23,25
2024-01-03,11:33,10
2024-01-03,11:39,15
2024-01-03,11:59,20
2024-01-03,12:01,25
2024-01-03,12:20,20
2024-01-03,12:28,24
2024-01-03,12:38,8
2024-01-03,12:45,0
2024-01-03,12:47,40
2024-01-03,12:58,10
2024-01-03,13:01,10
2024-01-03,13:06,8
2024-01-03,13:13,14
2024-01-03,13:16,10
2024-01-03,13:33,7
2024-01-03,13:34,20
2024-01-03,13:40,10
2024-01-03,13:43,17
2024-01-03,13:52,15
2024-01-03,13:55,8
2024-01-03,13:56,17
2024-01-03,14:00,30
2024-01-03,14:03,12
2024-01-03,14:08,13
2024-01-03,14:10,0
2024-01-03,14:20,9
2024-01-03,14:20,31
2024-01-03,14:20,15
2024-01-03,14:41,8
2024-01-03,14:46,23
2024-01-03,14:56,20
2024-01-03,14:56,20
2024-01-03,15:03,8
2024-01-03,15:07,10
2024-01-03,15:13,8
2024-01-03,15:16,12
2024-01-03,15:17,28
2024-01-03,15:20,10
2024-01-03,15:26,17
2024-01-03,15:34,24
2024-01-03,15:35,10
2024-01-03,15:39,18
2024-01-03,15:43,10
2024-01-03,15:45,8
2024-01-03,15:48,9
2024-01-03,15:49,31
2024-01-03,15:57,10
2024-01-03,15:58,10
2024-01-03,16:17,25
2024-01-03,16:32,9
2024-01-03,16:33,12
2024-01-03,16:34,12
2024-01-03,16:35,20
2024-01-03,16:43,14
2024-01-03,16:47,11
2024-01-03,16:50,12
2024-01-03,16:52,10
2024-01-03,16:55,229
2024-01-03,16:57,10
2024-01-03,16:57,10
2024-01-03,16:58,220
2024-01-03,17:06,10
2024-01-03,17:07,10
2024-01-03,17:10,8
2024-01-03,17:10,11
2024-01-03,17:10,11
2024-01-03,17:11,215
2024-01-03,17:14,11
2024-01-03,17:17,10
2024-01-03,17:17,24
2024-01-03,17:30,10
2024-01-03,17:30,8
2024-01-03,17:35,9
2024-01-03,17:46,24
2024-01-03,17:50,10
2024-01-03,17:55,12
2024-01-03,18:00,10
2024-01-03,18:04,10
2024-01-03,18:06,9
2024-01-03,18:09,8
2024-01-03,18:10,10
2024-01-03,18:30,10
2024-01-03,18:31,10
2024-01-03,18:33,20
2024-01-03,18:33,11
2024-01-03,18:40,18
2024-01-03,19:05,0
2024-01-03,19:40,15
2024-01-03,19:48,10
2024-01-03,19:53,8
2024-01-03,20:31,10
2024-01-03,20:32,15
2024-01-03,20:33,12
2024-01-03,20:33,12
2024-01-03,20:34,7
2024-01-03,20:34,12
2024-01-03,20:34,10
2024-01-03,20:35,10
2024-01-03,20:35,10
2024-01-03,20:36,10
2024-01-03,20:36,8
2024-01-03,20:36,8
2024-01-03,20:37,10
2024-01-03,20:39,8
2024-01-03,20:44,20
2024-01-03,20:46,10
2024-01-03,20:49,30
2024-01-03,20:49,15
2024-01-03,20:50,12
2024-01-03,20:50,8
2024-01-03,20:55,10
2024-01-03,21:03,9
2024-01-03,21:17,6
2024-01-03,21:20,8
2024-01-03,21:22,12
2024-01-03,21:26,8
2024-01-03,21:27,20
2024-01-03,21:30,10
2024-01-03,21:38,20
2024-01-03,21:38,25
2024-01-03,21:44,15
2024-01-03,22:03,20
2024-01-03,22:14,10
2024-01-03,22:29,15
2024-01-03,22:49,0
2024-01-03,23:03,10
2024-01-03,23:22,30
2024-01-03,23:33,15
2024-01-03,00:03,24
2024-01-03,00:21,140
2024-01-03,00:25,0
2024-01-03,00:32,10
2024-01-03,01:25,10
2024-01-04,02:15,30
2024-01-04,02:25,20
2024-01-04,02:53,24
2024-01-04,03:30,5
2024-01-04,03:50,20
2024-01-04,04:00,0
2024-01-04,04:03,30
2024-01-04,04:16,30
2024-01-04,04:18,30
2024-01-04,04:30,8
2024-01-04,04:32,8
2024-01-04,04:36,28
2024-01-04,04:38,7
2024-01-04,04:47,20
2024-01-04,05:03,16
2024-01-04,05:05,10
2024-01-04,05:09,15
2024-01-04,05:31,12
2024-01-04,05:42,7
2024-01-04,05:58,11
2024-01-04,05:58,21
2024-01-04,06:01,15
2024-01-04,06:02,8
2024-01-04,06:04,10
2024-01-04,06:06,10
2024-01-04,06:08,10
2024-01-04,06:11,6
2024-01-04,06:27,20
2024-01-04,06:39,20
2024-01-04,06:45,8
2024-01-04,06:50,12
2024-01-04,06:54,9
2024-01-04,06:56,9
2024-01-04,06:57,11
2024-01-04,07:32,9
2024-01-04,07:47,15
2024-01-04,08:00,20
2024-01-04,08:02,11
2024-01-04,08:03,6
2024-01-04,08:05,8
2024-01-04,08:27,10
2024-01-04,08:29,5
2024-01-04,08:55,10
2024-01-04,09:02,6
2024-01-04,09:05,24
2024-01-04,09:35,20
2024-01-04,09:38,10
2024-01-04,09:44,25
2024-01-04,10:07,8
2024-01-04,10:35,20
2024-01-04,10:37,14
2024-01-04,10:40,10
2024-01-04,10:47,20
2024-01-04,10:48,8
2024-01-04,10:52,16
2024-01-04,11:04,9
2024-01-04,11:14,6
2024-01-04,11:15,10
2024-01-04,11:16,11
2024-01-04,11:17,15
2024-01-04,11:18,15
2024-01-04,11:19,10
2024-01-04,11:21,9
2024-01-04,11:25,12
2024-01-04,11:27,8
2024-01-04,11:46,0
2024-01-04,11:51,11
2024-01-04,11:52,15
2024-01-04,12:00,20
2024-01-04,12:05,10
2024-01-04,12:11,12
2024-01-04,12:12,16
2024-01-04,12:22,28
2024-01-04,12:27,15
2024-01-04,12:30,14
2024-01-04,12:39,20
2024-01-04,12:45,10
2024-01-04,13:29,5
2024-01-04,13:32,55
2024-01-04,13:37,30
2024-01-04,13:37,22
2024-01-04,13:37,10
2024-01-04,13:48,204
2024-01-04,13:51,12
2024-01-04,13:58,10
2024-01-04,14:03,18
2024-01-04,14:10,8
2024-01-04,14:15,9
2024-01-04,14:20,13
2024-01-04,14:21,0
2024-01-04,14:21,10
2024-01-04,14:22,0
2024-01-04,14:26,12
2024-01-04,14:26,18
2024-01-04,14:35,5
2024-01-04,14:37,12
2024-01-04,14:45,15
2024-01-04,14:55,20
2024-01-04,14:55,12
2024-01-04,14:59,14
2024-01-04,15:01,110
2024-01-04,15:10,10
2024-01-04,15:11,10
2024-01-04,15:25,14
2024-01-04,15:32,7
2024-01-04,15:33,10
2024-01-04,15:34,24
2024-01-04,15:39,9
2024-01-04,15:39,8
2024-01-04,15:56,13
2024-01-04,15:58,45
2024-01-04,16:00,10
2024-01-04,16:01,45
2024-01-04,16:18,15
2024-01-04,16:28,9
2024-01-04,16:30,10
2024-01-04,16:32,12
2024-01-04,16:37,6
2024-01-04,16:38,10
2024-01-04,16:42,10
2024-01-04,16:42,10
2024-01-04,16:42,18
2024-01-04,16:44,12
2024-01-04,16:45,12
2024-01-04,16:47,10
2024-01-04,16:48,11
2024-01-04,16:54,24
2024-01-04,16:56,9
2024-01-04,16:57,6
2024-01-04,17:00,10
2024-01-04,17:00,10
2024-01-04,17:00,10
2024-01-04,17:00,8
2024-01-04,17:06,8
2024-01-04,17:11,10
2024-01-04,17:17,15
2024-01-04,17:20,10
2024-01-04,17:20,11
2024-01-04,17:28,10
2024-01-04,17:28,10
2024-01-04,17:34,0
2024-01-04,17:35,15
2024-01-04,17:40,10
2024-01-04,17:57,12
2024-01-04,17:59,10
2024-01-04,18:16,20
2024-01-04,18:28,12
2024-01-04,18:30,0
2024-01-04,18:31,36
2024-01-04,18:41,12
2024-01-04,18:42,5
2024-01-04,18:56,7
2024-01-04,19:08,18
2024-01-04,19:15,480
2024-01-04,19:30,10
2024-01-04,19:34,252
2024-01-04,19:37,30
2024-01-04,19:42,22
2024-01-04,20:00,10
2024-01-04,20:00,10
2024-01-04,20:10,13
2024-01-04,20:34,15
2024-01-04,20:59,10
2024-01-04,21:04,12
2024-01-04,21:13,7
2024-01-04,21:14,0
2024-01-04,21:18,10
2024-01-04,21:28,32
2024-01-04,21:37,31
2024-01-04,22:10,15
2024-01-04,22:18,32
2024-01-04,22:27,1
2024-01-04,22:37,27
2024-01-04,22:43,0
2024-01-04,23:23,20
2024-01-04,23:25,20
2024-01-04,23:51,25
2024-01-04,23:56,98
2024-01-04,23:58,13
2024-01-04,00:10,0
2024-01-04,00:23,9
2024-01-04,00:32,20
2024-01-04,01:29,20
2024-01-05,02:12,210
2024-01-05,02:13,5
2024-01-05,03:29,20
2024-01-05,04:35,1
2024-01-05,04:55,20
2024-01-05,04:56,15
2024-01-05,05:03,6
2024-01-05,05:06,1
2024-01-05,05:08,9
2024-01-05,05:15,1
2024-01-05,05:16,7
2024-01-05,05:17,10
2024-01-05,05:17,10
2024-01-05,05:19,15
2024-01-05,05:21,9
2024-01-05,05:31,10
2024-01-05,05:32,6
2024-01-05,05:43,0
2024-01-05,05:44,0
2024-01-05,05:46,10
2024-01-05,05:58,8
2024-01-05,06:00,1
2024-01-05,06:01,56
2024-01-05,06:13,0
2024-01-05,06:15,34
2024-01-05,06:18,10
2024-01-05,06:21,10
2024-01-05,06:36,20
2024-01-05,06:39,6
2024-01-05,06:52,10
2024-01-05,07:02,10
2024-01-05,07:02,8
2024-01-05,07:06,20
2024-01-05,07:08,11
2024-01-05,07:12,12
2024-01-05,07:29,20
2024-01-05,07:36,20
2024-01-05,07:39,10
2024-01-05,07:50,10
2024-01-05,08:09,24
2024-01-05,08:11,24
2024-01-05,08:18,452
2024-01-05,08:22,63
2024-01-05,08:31,447
2024-01-05,08:35,12
2024-01-05,08:43,15
2024-01-05,08:53,8
2024-01-05,08:55,27
2024-01-05,09:02,22
2024-01-05,09:16,14
2024-01-05,09:23,12
2024-01-05,09:23,10
2024-01-05,09:24,13
2024-01-05,09:28,10
2024-01-05,09:31,28
2024-01-05,09:31,10
2024-01-05,09:32,20
2024-01-05,09:44,30
2024-01-05,10:35,30
2024-01-05,11:26,20
2024-01-05,11:30,13
2024-01-05,11:39,10
2024-01-05,11:41,25
2024-01-05,11:44,10
2024-01-05,11:44,9
2024-01-05,11:48,0
2024-01-05,12:01,8
2024-01-05,12:24,8
2024-01-05,12:33,8
2024-01-05,12:46,30
2024-01-05,12:48,0
2024-01-05,12:50,20
2024-01-05,12:58,20
2024-01-05,13:00,22
2024-01-05,13:05,10
2024-01-05,13:07,19
2024-01-05,13:11,12
2024-01-05,13:16,30
2024-01-05,13:19,20
2024-01-05,13:24,12
2024-01-05,13:26,72
2024-01-05,13:32,12
2024-01-05,13:41,8
2024-01-05,13:46,8
2024-01-05,14:02,20
2024-01-05,14:05,9
2024-01-05,14:06,8
2024-01-05,14:06,28
2024-01-05,14:11,0
2024-01-05,14:13,0
2024-01-05,14:16,8
2024-01-05,14:22,9
2024-01-05,14:22,12
2024-01-05,14:27,55
2024-01-05,14:33,12
2024-01-05,14:36,22
2024-01-05,14:38,15
2024-01-05,14:51,10
2024-01-05,14:52,12
2024-01-05,15:04,15
2024-01-05,15:06,10
2024-01-05,15:10,33
2024-01-05,15:16,24
2024-01-05,15:35,5
2024-01-05,15:35,10
2024-01-05,15:43,6
2024-01-05,15:54,8
2024-01-05,16:03,10
2024-01-05,16:04,10
2024-01-05,16:08,50
2024-01-05,16:09,8
2024-01-05,16:11,8
2024-01-05,16:11,12
2024-01-05,16:12,8
2024-01-05,16:15,10
2024-01-05,16:29,15
2024-01-05,16:32,30
2024-01-05,16:33,17
2024-01-05,16:41,12
2024-01-05,16:44,16
2024-01-05,16:44,16
2024-01-05,16:45,10
2024-01-05,16:49,20
2024-01-05,16:50,11
2024-01-05,17:02,10
2024-01-05,17:06,11
2024-01-05,17:13,10
2024-01-05,17:17,10
2024-01-05,17:17,10
2024-01-05,17:25,12
2024-01-05,17:27,11
2024-01-05,17:30,10
2024-01-05,17:31,10
2024-01-05,17:36,14
2024-01-05,17:41,22
2024-01-05,17:42,11
2024-01-05,17:50,9
2024-01-05,17:53,20
2024-01-05,18:04,12
2024-01-05,18:10,12
2024-01-05,18:15,22
2024-01-05,18:16,9
2024-01-05,18:25,13
2024-01-05,18:31,15
2024-01-05,18:32,11
2024-01-05,18:38,10
2024-01-05,18:41,14
2024-01-05,18:54,6
2024-01-05,18:57,39
2024-01-05,19:00,10
2024-01-05,19:08,12
2024-01-05,19:19,10
2024-01-05,19:29,8
2024-01-05,19:35,10
2024-01-05,19:36,30
2024-01-05,19:37,53
2024-01-05,19:40,53
2024-01-05,19:43,10
2024-01-05,19:44,20
2024-01-05,19:53,12
2024-01-05,20:04,15
2024-01-05,20:04,10
2024-01-05,20:06,23
2024-01-05,20:22,15
2024-01-05,20:42,8
2024-01-05,20:42,9
2024-01-05,20:45,10
2024-01-05,20:49,15
2024-01-05,20:54,15
2024-01-05,21:08,12
2024-01-05,21:14,0
2024-01-05,21:40,20
2024-01-05,21:42,10
2024-01-05,21:57,24
2024-01-05,22:11,10
2024-01-05,22:12,15
2024-01-05,22:14,6
2024-01-05,22:37,5
2024-01-05,22:39,18
2024-01-05,23:06,20
2024-01-05,23:08,12
2024-01-05,23:14,10
2024-01-05,23:22,191
2024-01-05,23:40,120
2024-01-05,23:48,0
2024-01-05,23:59,10
2024-01-05,23:59,10
2024-01-05,00:08,20
2024-01-05,01:43,25
2024-01-06,02:00,10
2024-01-06,02:07,20
2024-01-06,02:21,12
2024-01-06,02:32,12
2024-01-06,03:26,5
2024-01-06,03:48,18
2024-01-06,04:03,5
2024-01-06,04:17,30
2024-01-06,04:19,20
2024-01-06,04:40,15
2024-01-06,04:50,30
2024-01-06,04:57,30
2024-01-06,05:03,0
2024-01-06,05:05,10
2024-01-06,05:08,14
2024-01-06,05:08,0
2024-01-06,05:27,30
2024-01-06,05:40,20
2024-01-06,06:00,917
2024-01-06,06:18,17
2024-01-06,06:31,10
2024-01-06,06:46,14
2024-01-06,07:48,30
2024-01-06,08:00,20
2024-01-06,08:02,14
2024-01-06,08:04,10
2024-01-06,08:06,10
2024-01-06,08:11,0
2024-01-06,08:36,32
2024-01-06,08:41,15
2024-01-06,09:08,12
2024-01-06,09:11,9
2024-01-06,09:12,32
2024-01-06,09:14,18
2024-01-06,09:18,30
2024-01-06,09:21,10
2024-01-06,09:34,8
2024-01-06,09:53,15
2024-01-06,10:13,18
2024-01-06,10:14,30
2024-01-06,10:17,10
2024-01-06,10:24,9
2024-01-06,10:27,10
2024-01-06,10:27,10
2024-01-06,10:45,10
2024-01-06,10:50,12
2024-01-06,10:57,10
2024-01-06,11:06,20
2024-01-06,11:09,14
2024-01-06,11:11,4
2024-01-06,11:14,7
2024-01-06,11:34,15
2024-01-06,11:41,0
2024-01-06,11:45,12
2024-01-06,11:45,9
2024-01-06,11:59,9
2024-01-06,12:02,27
2024-01-06,12:05,13
2024-01-06,12:18,9
2024-01-06,12:35,20
2024-01-06,12:45,9
2024-01-06,12:56,12
2024-01-06,12:56,12
2024-01-06,13:00,251
2024-01-06,13:07,9
2024-01-06,13:11,20
2024-01-06,13:16,20
2024-01-06,13:33,6
2024-01-06,13:53,18
2024-01-06,13:54,6
2024-01-06,14:03,9
2024-01-06,14:10,14
2024-01-06,14:13,20
2024-01-06,14:13,10
2024-01-06,14:16,25
2024-01-06,14:17,10
2024-01-06,14:20,10
2024-01-06,14:26,10
2024-01-06,14:33,20
2024-01-06,14:43,22
2024-01-06,14:44,10
2024-01-06,14:45,8
2024-01-06,14:45,8
2024-01-06,14:45,10
2024-01-06,14:51,10
2024-01-06,14:55,15
2024-01-06,14:57,10
2024-01-06,15:05,10
2024-01-06,15:16,17
2024-01-06,15:17,8
2024-01-06,15:26,10
2024-01-06,15:28,10
2024-01-06,15:40,7
2024-01-06,15:41,22
2024-01-06,15:45,7
2024-01-06,16:05,20
2024-01-06,16:14,10
2024-01-06,16:30,10
2024-01-06,16:55,11
2024-01-06,17:23,9
2024-01-06,17:26,12
2024-01-06,17:32,30
2024-01-06,17:41,10
2024-01-06,17:42,12
2024-01-06,17:46,9
2024-01-06,17:50,15
2024-01-06,17:59,19
2024-01-06,18:05,30
2024-01-06,18:09,25
2024-01-06,18:19,0
2024-01-06,18:24,10
2024-01-06,18:27,14
2024-01-06,18:27,9
2024-01-06,18:27,10
2024-01-06,18:29,10
2024-01-06,18:30,20
2024-01-06,18:30,10
2024-01-06,18:31,40
2024-01-06,18:37,0
2024-01-06,18:37,21
2024-01-06,18:41,10
2024-01-06,18:42,10
2024-01-06,18:44,10
2024-01-06,18:45,116
2024-01-06,18:48,7
2024-01-06,18:53,9
2024-01-06,18:53,10
2024-01-06,18:56,390
2024-01-06,19:00,12
2024-01-06,19:03,10
2024-01-06,19:04,25
2024-01-06,19:24,47
2024-01-06,19:26,19
2024-01-06,19:29,123
2024-01-06,19:32,12
2024-01-06,19:35,18
2024-01-06,19:36,20
2024-01-06,19:46,8
2024-01-06,19:59,49
2024-01-06,19:59,0
2024-01-06,20:11,20
2024-01-06,20:25,51
2024-01-06,20:27,52
2024-01-06,20:32,10
2024-01-06,20:40,10
2024-01-06,20:57,0
2024-01-06,20:58,20
2024-01-06,21:10,10
2024-01-06,21:10,10
2024-01-06,21:14,28
2024-01-06,21:19,12
2024-01-06,21:23,20
2024-01-06,21:29,20
2024-01-06,21:43,10
2024-01-06,21:47,10
2024-01-06,22:08,17
2024-01-06,22:10,10
2024-01-06,22:15,9
2024-01-06,22:26,9
2024-01-06,22:30,15
2024-01-06,22:35,0
2024-01-06,22:40,20
2024-01-06,23:09,10
2024-01-06,23:09,20
2024-01-06,23:12,10
2024-01-06,23:13,21
2024-01-06,23:13,10
2024-01-06,23:15,10
2024-01-06,23:15,10
2024-01-06,23:46,12
2024-01-06,23:47,180
2024-01-06,01:00,0
2024-01-07,02:25,15
2024-01-07,02:31,0
2024-01-07,02:45,0
2024-01-07,03:15,20
2024-01-07,03:28,15
2024-01-07,03:37,15
2024-01-07,03:40,30
2024-01-07,03:58,0
2024-01-07,04:06,5
2024-01-07,05:11,15
2024-01-07,05:30,0
2024-01-07,05:33,0
2024-01-07,06:15,15
2024-01-07,07:21,3
2024-01-07,07:41,9
2024-01-07,07:48,8
2024-01-07,07:54,4
2024-01-07,07:59,20
2024-01-07,08:47,10
2024-01-07,08:47,55
2024-01-07,09:22,26
2024-01-07,09:22,11
2024-01-07,09:24,0
2024-01-07,09:33,15
2024-01-07,09:53,11
2024-01-07,11:19,20
2024-01-07,11:31,20
2024-01-07,11:34,10
2024-01-07,11:43,8
2024-01-07,11:45,18
2024-01-07,12:16,145
2024-01-07,12:17,10
2024-01-07,12:17,19
2024-01-07,12:22,12
2024-01-07,12:41,10
2024-01-07,12:45,10
2024-01-07,12:49,8
2024-01-07,12:58,10
2024-01-07,13:00,10
2024-01-07,13:04,22
2024-01-07,13:24,7
2024-01-07,13:26,5
2024-01-07,13:35,30
2024-01-07,13:42,6
2024-01-07,13:58,20
2024-01-07,14:21,10
2024-01-07,14:22,8
2024-01-07,14:25,30
2024-01-07,14:31,30
2024-01-07,14:42,12
2024-01-07,14:55,18
2024-01-07,14:55,12
2024-01-07,15:27,0
2024-01-07,15:30,6
2024-01-07,15:47,4
2024-01-07,15:58,8
2024-01-07,16:19,24
2024-01-07,16:20,24
2024-01-07,16:29,5
2024-01-07,16:35,8
2024-01-07,16:43,6
2024-01-07,16:51,20
2024-01-07,16:58,12
2024-01-07,17:20,9
2024-01-07,17:50,16
2024-01-07,18:06,17
2024-01-07,18:06,17
2024-01-07,18:19,22
2024-01-07,18:33,14
2024-01-07,18:33,6
2024-01-07,18:35,20
2024-01-07,18:54,10
